name,id,pinyin
长电科技,600584,chánɡ diàn kē jì
海螺水泥,600585,hǎi luó shuǐ ní/nì
金晶科技,600586,jīn jīnɡ kē jì
新华医疗,600587,xīn huá yī liáo
用友软件,600588,yòng yǒu ruǎn jiàn
广东榕泰,600589,ān dōnɡ róng tài
泰豪科技,600590,tài háo kē jì
龙溪股份,600592,lónɡ qī ɡǔ bīn
大连圣亚,600593,dà lián kū yà
益佰制药,600594,yì bǎi zhì yào
中孚实业,600595,zhōnɡ fú shí yè
新安股份,600596,xīn ān ɡǔ bīn
光明乳业,600597,ɡuānɡ mènɡ rǔ yè
北大荒,600598,běi dà huānɡ
熊猫烟花,600599,xióng māo yān huā
青岛啤酒,600600,jīnɡ dǎo pí jiǔ
方正科技,600601,fānɡ zhēnɡ kē jì
广电电子,600602,ān diàn diàn zǐ
ST二纺,600604,S T èr fǎnɡ
汇通能源,600605,huì tōng nái yuán
金丰投资,600606,jīn fēnɡ dòu zī
*ST沪科,600608,* S T hù kē
*ST金杯,600609,* S T jīn bēi
SST中纺,600610,S S T zhōnɡ fǎnɡ
大众交通,600611,dà yín jiāo tōng
老凤祥,600612,lǎo fènɡ xiáng
永生投资,600613,yǒng shēnɡ dòu zī
鼎立股份,600614,dǐnɡ lì ɡǔ bīn
丰华股份,600615,fēnɡ huá ɡǔ bīn
金枫酒业,600616,jīn fēnɡ jiǔ yè
*ST联华,600617,* S T lián huá
氯碱化工,600618,lǜ jiǎn huā ɡōnɡ
海立股份,600619,hǎi lì ɡǔ bīn
天宸股份,600620,tiān chén ɡǔ bīn
上海金陵,600621,shǎnɡ hǎi jīn líng
嘉宝集团,600622,jiā bǎo jí qiú
双钱股份,600623,shuānɡ qián ɡǔ bīn
复旦复华,600624,fù dàn fù huá
申达股份,600626,shēn dá ɡǔ bīn
新世界,600628,xīn shì jiè
棱光实业,600629,chēnɡ ɡuānɡ shí yè
龙头股份,600630,lónɡ tóu ɡǔ bīn
百联股份,600631,bǎi lián ɡǔ bīn
*ST海鸟,600634,* S T hǎi diǎo
大众公用,600635,dà yín ɡōnɡ yòng
三爱富,600636,sān ài fù
